model_shorthand,step,tokens_seen
Pythia 14m,0,0
Pythia 14m,1,"2,097,152"
Pythia 14m,2,"4,194,304"
Pythia 14m,4,"8,388,608"
Pythia 14m,8,"16,777,216"
Pythia 14m,16,"33,554,432"
Pythia 14m,32,"67,108,864"
Pythia 14m,64,"134,217,728"
Pythia 14m,128,"268,435,456"
Pythia 14m,256,"536,870,912"
Pythia 14m,512,"1,073,741,824"
Pythia 14m,1000,"2,097,152,000"
Pythia 14m,2000,"4,194,304,000"
Pythia 14m,3000,"6,291,456,000"
Pythia 14m,4000,"8,388,608,000"
Pythia 14m,5000,"10,485,760,000"
Pythia 14m,6000,"12,582,912,000"
Pythia 14m,7000,"14,680,064,000"
Pythia 14m,8000,"16,777,216,000"
Pythia 14m,9000,"18,874,368,000"
Pythia 14m,10000,"20,971,520,000"
Pythia 14m,11000,"23,068,672,000"
Pythia 14m,12000,"25,165,824,000"
Pythia 14m,13000,"27,262,976,000"
Pythia 14m,14000,"29,360,128,000"
Pythia 14m,15000,"31,457,280,000"
Pythia 14m,16000,"33,554,432,000"
Pythia 14m,17000,"35,651,584,000"
Pythia 14m,18000,"37,748,736,000"
Pythia 14m,19000,"39,845,888,000"
Pythia 14m,20000,"41,943,040,000"
Pythia 14m,21000,"44,040,192,000"
Pythia 14m,22000,"46,137,344,000"
Pythia 14m,23000,"48,234,496,000"
Pythia 14m,24000,"50,331,648,000"
Pythia 14m,25000,"52,428,800,000"
Pythia 14m,26000,"54,525,952,000"
Pythia 14m,27000,"56,623,104,000"
Pythia 14m,28000,"58,720,256,000"
Pythia 14m,29000,"60,817,408,000"
Pythia 14m,30000,"62,914,560,000"
Pythia 14m,31000,"65,011,712,000"
Pythia 14m,32000,"67,108,864,000"
Pythia 14m,33000,"69,206,016,000"
Pythia 14m,34000,"71,303,168,000"
Pythia 14m,35000,"73,400,320,000"
Pythia 14m,36000,"75,497,472,000"
Pythia 14m,37000,"77,594,624,000"
Pythia 14m,38000,"79,691,776,000"
Pythia 14m,39000,"81,788,928,000"
Pythia 14m,40000,"83,886,080,000"
Pythia 14m,41000,"85,983,232,000"
Pythia 14m,42000,"88,080,384,000"
Pythia 14m,43000,"90,177,536,000"
Pythia 14m,44000,"92,274,688,000"
Pythia 14m,45000,"94,371,840,000"
Pythia 14m,46000,"96,468,992,000"
Pythia 14m,47000,"98,566,144,000"
Pythia 14m,48000,"100,663,296,000"
Pythia 14m,49000,"102,760,448,000"
Pythia 14m,50000,"104,857,600,000"
Pythia 14m,51000,"106,954,752,000"
Pythia 14m,52000,"109,051,904,000"
Pythia 14m,53000,"111,149,056,000"
Pythia 14m,54000,"113,246,208,000"
Pythia 14m,55000,"115,343,360,000"
Pythia 14m,56000,"117,440,512,000"
Pythia 14m,57000,"119,537,664,000"
Pythia 14m,58000,"121,634,816,000"
Pythia 14m,59000,"123,731,968,000"
Pythia 14m,60000,"125,829,120,000"
Pythia 14m,61000,"127,926,272,000"
Pythia 14m,62000,"130,023,424,000"
Pythia 14m,63000,"132,120,576,000"
Pythia 14m,64000,"134,217,728,000"
Pythia 14m,65000,"136,314,880,000"
Pythia 14m,66000,"138,412,032,000"
Pythia 14m,67000,"140,509,184,000"
Pythia 14m,68000,"142,606,336,000"
Pythia 14m,69000,"144,703,488,000"
Pythia 14m,70000,"146,800,640,000"
Pythia 14m,71000,"148,897,792,000"
Pythia 14m,72000,"150,994,944,000"
Pythia 14m,73000,"153,092,096,000"
Pythia 14m,74000,"155,189,248,000"
Pythia 14m,75000,"157,286,400,000"
Pythia 14m,76000,"159,383,552,000"
Pythia 14m,77000,"161,480,704,000"
Pythia 14m,78000,"163,577,856,000"
Pythia 14m,79000,"165,675,008,000"
Pythia 14m,80000,"167,772,160,000"
Pythia 14m,81000,"169,869,312,000"
Pythia 14m,82000,"171,966,464,000"
Pythia 14m,83000,"174,063,616,000"
Pythia 14m,84000,"176,160,768,000"
Pythia 14m,85000,"178,257,920,000"
Pythia 14m,86000,"180,355,072,000"
Pythia 14m,87000,"182,452,224,000"
Pythia 14m,88000,"184,549,376,000"
Pythia 14m,89000,"186,646,528,000"
Pythia 14m,90000,"188,743,680,000"
Pythia 14m,91000,"190,840,832,000"
Pythia 14m,92000,"192,937,984,000"
Pythia 14m,93000,"195,035,136,000"
Pythia 14m,94000,"197,132,288,000"
Pythia 14m,95000,"199,229,440,000"
Pythia 14m,96000,"201,326,592,000"
Pythia 14m,97000,"203,423,744,000"
Pythia 14m,98000,"205,520,896,000"
Pythia 14m,99000,"207,618,048,000"
Pythia 14m,100000,"209,715,200,000"
Pythia 14m,101000,"211,812,352,000"
Pythia 14m,102000,"213,909,504,000"
Pythia 14m,103000,"216,006,656,000"
Pythia 14m,104000,"218,103,808,000"
Pythia 14m,105000,"220,200,960,000"
Pythia 14m,106000,"222,298,112,000"
Pythia 14m,107000,"224,395,264,000"
Pythia 14m,108000,"226,492,416,000"
Pythia 14m,109000,"228,589,568,000"
Pythia 14m,110000,"230,686,720,000"
Pythia 14m,111000,"232,783,872,000"
Pythia 14m,112000,"234,881,024,000"
Pythia 14m,113000,"236,978,176,000"
Pythia 14m,114000,"239,075,328,000"
Pythia 14m,115000,"241,172,480,000"
Pythia 14m,116000,"243,269,632,000"
Pythia 14m,117000,"245,366,784,000"
Pythia 14m,118000,"247,463,936,000"
Pythia 14m,119000,"249,561,088,000"
Pythia 14m,120000,"251,658,240,000"
Pythia 14m,121000,"253,755,392,000"
Pythia 14m,122000,"255,852,544,000"
Pythia 14m,123000,"257,949,696,000"
Pythia 14m,124000,"260,046,848,000"
Pythia 14m,125000,"262,144,000,000"
Pythia 14m,126000,"264,241,152,000"
Pythia 14m,127000,"266,338,304,000"
Pythia 14m,128000,"268,435,456,000"
Pythia 14m,129000,"270,532,608,000"
Pythia 14m,130000,"272,629,760,000"
Pythia 14m,131000,"274,726,912,000"
Pythia 14m,132000,"276,824,064,000"
Pythia 14m,133000,"278,921,216,000"
Pythia 14m,134000,"281,018,368,000"
Pythia 14m,135000,"283,115,520,000"
Pythia 14m,136000,"285,212,672,000"
Pythia 14m,137000,"287,309,824,000"
Pythia 14m,138000,"289,406,976,000"
Pythia 14m,139000,"291,504,128,000"
Pythia 14m,140000,"293,601,280,000"
Pythia 14m,141000,"295,698,432,000"
Pythia 14m,142000,"297,795,584,000"
Pythia 14m,143000,"299,892,736,000"
Pythia 1b,0,0
Pythia 1b,1,"2,097,152"
Pythia 1b,2,"4,194,304"
