item,start,end,passage,critical_q,critical_a,attn_check_1_q,attn_check_1_a,attn_check_2_q,attn_check_2_a,attn_check_3_q,attn_check_3_a,attn_check_4_q,attn_check_4_a
1,box,basket,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.",Sean thinks the book is in the,basket,"At the start of the story, Sean put the book in the",box,"At the end of the story, the book was in the",basket,The person who put the book in the box was,Sean,The person who moved the book to the basket was,Anna
2,cupboard,fridge,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.",Mary thinks the jam is in the,fridge,"At the start of the story, Mary put the jam in the",cupboard,"At the end of the story, the jam was in the",fridge,The person who put the jam in the cupboard was,Mary,The person who moved the jam to the fridge was,James
3,sink,basket,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.",Cameron thinks the shirt is in the,basket,"At the start of the story, Cameron put the shirt in the",sink,"At the end of the story, the shirt was in the",basket,The person who put the shirt in the sink was,Cameron,The person who moved the shirt to the basket was,Helen
4,shed,garage,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.",Paula thinks the football is in the,garage,"At the start of the story, Paula put the football in the",shed,"At the end of the story, the football was in the",garage,The person who put the football in the shed was,Paula,The person who moved the football to the garage was,Tim
5,hall,study,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.",Ed thinks the keys are in the,study,"At the start of the story, Ed put the keys in the",hall,"At the end of the story, the keys were in the",study,The person who put the keys in the hall was,Ed,The person who moved the keys to the study was,Seana
6,drawer,cabinet,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.",Laura thinks the stapler is in the,cabinet,"At the start of the story, Laura put the stapler in the",drawer,"At the end of the story, the stapler was in the",cabinet,The person who put the stapler in the drawer was,Laura,The person who moved the stapler to the cabinet was,Ross
7,garage,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David thinks the wine is in the,fridge,"At the start of the story, David put the wine in the",garage,"At the end of the story, the wine was in the",fridge,The person who put the wine in the garage was,David,The person who moved the wine to the fridge was,Marta
8,hall,bedroom,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.",Sarah thinks the painting is in the,bedroom,"At the start of the story, Sarah put the painting in the",hall,"At the end of the story, the painting was in the",bedroom,The person who put the painting in the hall was,Sarah,The person who moved the painting to the bedroom was,James
9,cupboard,drawer,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.",Lisa thinks the grater is in the,drawer,"At the start of the story, Lisa put the grater in the",cupboard,"At the end of the story, the grater was in the",drawer,The person who put the grater in the cupboard was,Lisa,The person who moved the grater to the drawer was,Robert
10,toolbox,van,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.",John thinks the shovel is in the,van,"At the start of the story, John put the shovel in the",toolbox,"At the end of the story, the shovel was in the",van,The person who put the shovel in the toolbox was,John,The person who moved the shovel to the van was,Karen
11,suitcase,backpack,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. After he's done, he comes back to sit at the table with Nicole. Patrick watches Nicole place the ticket in the backpack after taking it out of the suitcase. Patrick wants to check the ticket one more time.",Patrick thinks the ticket is in the,backpack,"At the start of the story, Patrick put the ticket in the",suitcase,"At the end of the story, the ticket was in the",backpack,The person who put the ticket in the suitcase was,Patrick,The person who moved the ticket to the backpack was,Nicole
12,stable,hut,"Hannah has just come back from a ride and is putting her horse away. She puts the saddle in the stable, then puts her backpack in the hut. Then she goes inside to have a bath. When, she finishes, she comes back. She watches Martin put the saddle in the hut instead of the stable. Hannah wants to use the saddle again.",Hannah thinks the saddle is in the,hut,"At the start of the story, Hannah put the saddle in the",stable,"At the end of the story, the saddle was in the",hut,The person who put the saddle in the stable was,Hannah,The person who moved the saddle to the hut was,Martin
