item,original_passage,reduced_passage,critical_q_knows,critical_q_understands,critical_q_recognizes,critical_q_assumes,critical_q_believes,critical_q_suspects,critical_q_thinks,critical_q_neutral,start,end,first_mention,recent_mention,information,knowledge_state,knowledge_state_format,relocation_verb_tense
1,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.",Anna moved Sean’s book to the basket from the box.,Sean knows the book is in the,Sean understands the book is in the,Sean recognizes the book is in the,Sean assumes the book is in the,Sean believes the book is in the,Sean suspects the book is in the,Sean thinks the book is in the,Sean goes to get the book from the,box,basket,End,Start,Knowledge Cue,Neutral,None,past
2,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.",James moved Mary’s jam into the fridge after taking it out of the cupboard.,Mary knows the jam is in the,Mary understands the jam is in the,Mary recognizes the jam is in the,Mary assumes the jam is in the,Mary believes the jam is in the,Mary suspects the jam is in the,Mary thinks the jam is in the,Mary goes to get the jam from the,cupboard,fridge,End,Start,Knowledge Cue,Neutral,None,past
3,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.",Helen moved Cameron’s shirt into the basket from the sink.,Cameron knows the shirt is in the,Cameron understands the shirt is in the,Cameron recognizes the shirt is in the,Cameron assumes the shirt is in the,Cameron believes the shirt is in the,Cameron suspects the shirt is in the,Cameron thinks the shirt is in the,Cameron goes to get the shirt from the,sink,basket,End,Start,Knowledge Cue,Neutral,None,past
4,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.",Tim moved Paula’s football into the garage after taking it out of the shed.,Paula knows the football is in the,Paula understands the football is in the,Paula recognizes the football is in the,Paula assumes the football is in the,Paula believes the football is in the,Paula suspects the football is in the,Paula thinks the football is in the,Paula goes to get the football from the,shed,garage,End,Start,Knowledge Cue,Neutral,None,past
5,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.",Seana moved Ed’s keys to the study from the hall.,Ed knows the keys are in the,Ed understands the keys are in the,Ed recognizes the keys are in the,Ed assumes the keys are in the,Ed believes the keys are in the,Ed suspects the keys are in the,Ed thinks the keys are in the,Ed goes to get the keys from the,hall,study,End,Start,Knowledge Cue,Neutral,None,past
6,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.",Ross took Laura’s stapler and put it back in the cabinet instead of the drawer.,Laura knows the stapler is in the,Laura understands the stapler is in the,Laura recognizes the stapler is in the,Laura assumes the stapler is in the,Laura believes the stapler is in the,Laura suspects the stapler is in the,Laura thinks the stapler is in the,Laura goes to get the stapler from the,drawer,cabinet,End,Start,Knowledge Cue,Neutral,None,past
7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",Marta moved David’s wine into the fridge from the garage.,David knows the wine is in the,David understands the wine is in the,David recognizes the wine is in the,David assumes the wine is in the,David believes the wine is in the,David suspects the wine is in the,David thinks the wine is in the,David goes to get the wine from the,garage,fridge,End,Start,Knowledge Cue,Neutral,None,past
8,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.",James moved Sarah’s painting to the bedroom from the hall.,Sarah knows the painting is in the,Sarah understands the painting is in the,Sarah recognizes the painting is in the,Sarah assumes the painting is in the,Sarah believes the painting is in the,Sarah suspects the painting is in the,Sarah thinks the painting is in the,Sarah goes to get the painting from the,hall,bedroom,End,Start,Knowledge Cue,Neutral,None,past
9,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.",Robert moved Lisa’s grater to the drawer from the cupboard.,Lisa knows the grater is in the,Lisa understands the grater is in the,Lisa recognizes the grater is in the,Lisa assumes the grater is in the,Lisa believes the grater is in the,Lisa suspects the grater is in the,Lisa thinks the grater is in the,Lisa goes to get the grater from the,cupboard,drawer,End,Start,Knowledge Cue,Neutral,None,past
10,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.",Karen put John’s shovel away in the van instead of the toolbox.,John knows the shovel is in the,John understands the shovel is in the,John recognizes the shovel is in the,John assumes the shovel is in the,John believes the shovel is in the,John suspects the shovel is in the,John thinks the shovel is in the,John goes to get the shovel from the,toolbox,van,End,Start,Knowledge Cue,Neutral,None,past
11,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. After he's done, he comes back to sit at the table with Nicole. Patrick watches Nicole place the ticket in the backpack after taking it out of the suitcase. Patrick wants to check the ticket one more time.",Nicole placed Patrick’s ticket in the backpack after taking it out of the suitcase.,Patrick knows the ticket is in the,Patrick understands the ticket is in the,Patrick recognizes the ticket is in the,Patrick assumes the ticket is in the,Patrick believes the ticket is in the,Patrick suspects the ticket is in the,Patrick thinks the ticket is in the,Patrick goes to get the ticket from the,suitcase,backpack,End,Start,Knowledge Cue,Neutral,None,past
