passage,condition,knowledge_cue,tokenized_passage,start,end,first_mention,recent_mention,setup_indices,exit_indices,manipulation_indices,return_indices,query_indices
"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,Explicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhile', 'ĠDavid', 'Ġis', 'Ġgone', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', ',', 'Ġso', 'Ġshe', 'Ġmoves', 'Ġthe', 'Ġwine', 'Ġout', 'Ġof', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġinto', 'Ġthe', 'Ġfridge', '.', 'ĠDavid', 'Ġreturns', 'Ġhome', 'Ġand', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġthinks', 'Ġthe', 'Ġwine', 'Ġis', 'Ġin', 'Ġthe']",garage,fridge,Start,End,"(0, 33)","(34, 43)","(44, 72)","(73, 83)","(84, 90)"
"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,Implicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhile', 'ĠDavid', 'Ġis', 'Ġgone', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', ',', 'Ġso', 'Ġshe', 'Ġmoves', 'Ġthe', 'Ġwine', 'Ġout', 'Ġof', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġinto', 'Ġthe', 'Ġfridge', '.', 'ĠDavid', 'Ġreturns', 'Ġhome', 'Ġand', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġwine', 'Ġfrom', 'Ġthe']",garage,fridge,Start,End,"(0, 33)","(34, 43)","(44, 72)","(73, 83)","(84, 91)"
"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",True Belief,Explicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', '.', 'ĠHowever', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', '.', 'ĠDavid', 'Ġwatches', 'ĠMart', 'a', 'Ġmove', 'Ġthe', 'Ġwine', 'Ġout', 'Ġof', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġinto', 'Ġthe', 'Ġfridge', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhen', 'Ġhe', 'Ġreturns', 'Ġhome', ',', 'Ġhe', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġthinks', 'Ġthe', 'Ġwine', 'Ġis', 'Ġin', 'Ġthe']",garage,fridge,Start,End,"(0, 33)","(62, 71)","(34, 61)","(72, 84)","(85, 91)"
"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",True Belief,Implicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', '.', 'ĠHowever', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', '.', 'ĠDavid', 'Ġwatches', 'ĠMart', 'a', 'Ġmove', 'Ġthe', 'Ġwine', 'Ġout', 'Ġof', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġinto', 'Ġthe', 'Ġfridge', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhen', 'Ġhe', 'Ġreturns', 'Ġhome', ',', 'Ġhe', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġwine', 'Ġfrom', 'Ġthe']",garage,fridge,Start,End,"(0, 33)","(62, 71)","(34, 61)","(72, 84)","(85, 92)"
"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,Explicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhile', 'ĠDavid', 'Ġis', 'Ġgone', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', ',', 'Ġso', 'Ġshe', 'Ġmoves', 'Ġthe', 'Ġwine', 'Ġinto', 'Ġthe', 'Ġfridge', 'Ġfrom', 'Ġthe', 'Ġgarage', '.', 'ĠDavid', 'Ġreturns', 'Ġhome', 'Ġand', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġthinks', 'Ġthe', 'Ġwine', 'Ġis', 'Ġin', 'Ġthe']",garage,fridge,Start,Start,"(0, 33)","(34, 43)","(45, 70)","(71, 81)","(82, 88)"
"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,Implicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhile', 'ĠDavid', 'Ġis', 'Ġgone', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', ',', 'Ġso', 'Ġshe', 'Ġmoves', 'Ġthe', 'Ġwine', 'Ġinto', 'Ġthe', 'Ġfridge', 'Ġfrom', 'Ġthe', 'Ġgarage', '.', 'ĠDavid', 'Ġreturns', 'Ġhome', 'Ġand', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġwine', 'Ġfrom', 'Ġthe']",garage,fridge,Start,Start,"(0, 33)","(34, 43)","(44, 70)","(71, 81)","(82, 89)"
"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",True Belief,Explicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', '.', 'ĠHowever', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', '.', 'ĠDavid', 'Ġwatches', 'ĠMart', 'a', 'Ġmove', 'Ġthe', 'Ġwine', 'Ġinto', 'Ġthe', 'Ġfridge', 'Ġfrom', 'Ġthe', 'Ġgarage', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhen', 'Ġhe', 'Ġreturns', 'Ġhome', ',', 'Ġhe', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġthinks', 'Ġthe', 'Ġwine', 'Ġis', 'Ġin', 'Ġthe']",garage,fridge,Start,Start,"(0, 33)","(60, 69)","(34, 59)","(70, 82)","(83, 89)"
"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",True Belief,Implicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', '.', 'ĠHowever', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', '.', 'ĠDavid', 'Ġwatches', 'ĠMart', 'a', 'Ġmove', 'Ġthe', 'Ġwine', 'Ġinto', 'Ġthe', 'Ġfridge', 'Ġfrom', 'Ġthe', 'Ġgarage', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhen', 'Ġhe', 'Ġreturns', 'Ġhome', ',', 'Ġhe', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġwine', 'Ġfrom', 'Ġthe']",garage,fridge,Start,Start,"(0, 33)","(60, 69)","(34, 59)","(70, 82)","(83, 89)"
"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,Explicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', 'Ġand', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhile', 'ĠDavid', 'Ġis', 'Ġgone', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', ',', 'Ġso', 'Ġshe', 'Ġmoves', 'Ġthe', 'Ġwine', 'Ġout', 'Ġof', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġinto', 'Ġthe', 'Ġfridge', '.', 'ĠDavid', 'Ġreturns', 'Ġhome', 'Ġand', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġthinks', 'Ġthe', 'Ġwine', 'Ġis', 'Ġin', 'Ġthe']",garage,fridge,End,End,"(0, 33)","(34, 43)","(44, 72)","(73, 83)","(84, 90)"
"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,Implicit,"['David', 'Ġand', 'ĠMart', 'a', 'Ġgo', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġwine', 'Ġfor', 'Ġthe', 'Ġparty', '.', 'ĠWhen', 'Ġthey', 'Ġget', 'Ġhome', ',', 'ĠDavid', 'Ġgrabs', 'Ġa', 'Ġdrink', 'Ġfrom', 'Ġthe', 'Ġfridge', 'Ġand', 'Ġstores', 'Ġthe', 'Ġwine', 'Ġin', 'Ġthe', 'Ġgarage', '.', 'ĠThen', ',', 'ĠDavid', 'Ġgoes', 'Ġout', 'Ġto', 'Ġget', 'Ġsome', 'Ġsnacks', '.', 'ĠWhile', 'ĠDavid', 'Ġis', 'Ġgone', ',', 'ĠMart', 'a', 'Ġdecides', 'Ġthe', 'Ġwine', 'Ġwould', 'Ġbe', 'Ġbest', 'Ġcooled', ',', 'Ġso', 'Ġshe', 'Ġmoves', 'Ġthe', 'Ġwine', 'Ġout', 'Ġof', 'Ġthe', 'Ġgarage', 'Ġand', 'Ġinto', 'Ġthe', 'Ġfridge', '.', 'ĠDavid', 'Ġreturns', 'Ġhome', 'Ġand', 'Ġwants', 'Ġto', 'Ġput', 'Ġout', 'Ġthe', 'Ġwine', '.', 'ĠDavid', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġwine', 'Ġfrom', 'Ġthe']",garage,fridge,End,End,"(0, 33)","(34, 43)","(44, 72)","(73, 83)","(84, 91)"
