start,end,passage,attn_check_1_q,attn_check_1_a,log_odds_1,correct_prob_q1,distractor_q1,attn_check_2_q,attn_check_2_a,log_odds_2,correct_prob_q2,distractor_q2,attn_check_3_q,attn_check_3_a,log_odds_3,correct_prob_q3,distractor_q3,attn_check_4_q,attn_check_4_a,log_odds_4,correct_prob_q4,distractor_q4,model_path,model_shorthand,stage,ingredient,step,tokens_seen
box,basket,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.","At the start of the story, Sean put the book in the",box,5.485506285500947,6.334696809062734e-05,1.4139169479676639e-06,"At the end of the story, the book was in the",basket,-0.25314329343226727,1.7356440366711468e-05,2.0685421986854635e-05,The person who put the book in the box was,Sean,-1.9605802148421778,2.1386749722296372e-05,8.324118243763223e-05,The person who moved the book to the basket was,Anna,3.558544088303059,0.00011173565144417807,9.48338220041478e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
cupboard,fridge,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.","At the start of the story, Mary put the jam in the",cupboard,2.5968019619411606,5.021292508899933e-06,8.300423246510036e-07,"At the end of the story, the jam was in the",fridge,0.3209512915385394,6.150825811346294e-06,4.923993401462212e-06,The person who put the jam in the cupboard was,Mary,-0.7485509233091058,7.519045902881771e-05,0.0001263278245460242,The person who moved the jam to the fridge was,James,0.8647879003531752,7.515038305427879e-05,4.1267114283982664e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
sink,basket,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.","At the start of the story, Cameron put the shirt in the",sink,-0.01446570699584821,6.308691808953881e-06,6.372266398102511e-06,"At the end of the story, the shirt was in the",basket,2.4760134139189645,1.706740295048803e-05,3.0677017548441654e-06,The person who put the shirt in the sink was,Cameron,1.158458552893354,2.0025331650685985e-06,8.971167062554741e-07,The person who moved the shirt to the basket was,Helen,-1.708701432369623,7.089457767506246e-07,2.3173060981207527e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
shed,garage,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.","At the start of the story, Paula put the football in the",shed,5.477304744897901,3.3581389288883656e-05,7.538164936704561e-07,"At the end of the story, the football was in the",garage,-2.6438520143840054,6.0776360442105215e-06,3.798511534114368e-05,The person who put the football in the shed was,Paula,-3.0295790246816954,8.13258156995289e-06,6.640833453275263e-05,The person who moved the football to the garage was,Tim,2.5800479306759967,4.71628263767343e-05,7.887293577368837e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
hall,study,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.","At the start of the story, Ed put the keys in the",hall,1.7833968566746219,2.4245044187409803e-05,7.043151526886504e-06,"At the end of the story, the keys were in the",study,1.108992401340882,2.612223215692211e-05,1.2110729585401714e-05,The person who put the keys in the hall was,Ed,-1.7297752676334837,4.447757419256959e-06,1.4752150491403881e-05,The person who moved the keys to the study was,Seana,2.5083696621230667,1.8557842849986628e-05,3.2616171665722504e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
drawer,cabinet,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.","At the start of the story, Laura put the stapler in the",drawer,5.044417626533938,1.8134020137949847e-05,5.495068080563215e-07,"At the end of the story, the stapler was in the",cabinet,-5.371481958319698,3.9388655181937793e-07,1.6306034012814052e-05,The person who put the stapler in the drawer was,Laura,-0.7889161590235918,1.742458698572591e-05,3.0105782570899464e-05,The person who moved the stapler to the cabinet was,Ross,1.389952794465402,3.9938720874488354e-05,1.5239708773151506e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
garage,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.","At the start of the story, David put the wine in the",garage,1.3161625305297016,6.829816811659839e-06,2.742866399785271e-06,"At the end of the story, the wine was in the",fridge,-1.8541394397696662,2.2182855445862515e-06,8.019901542866137e-06,The person who put the wine in the garage was,David,4.3832723816013255,6.116174063208746e-06,2.930781022314477e-07,The person who moved the wine to the fridge was,Marta,-3.732144680680351,6.054561367818678e-07,8.045817594393156e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
hall,bedroom,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.","At the start of the story, Sarah put the painting in the",hall,6.119171588480106,1.441747008357197e-05,2.0741246942179714e-07,"At the end of the story, the painting was in the",bedroom,-1.0531501168280326,3.888496394210961e-06,8.068846909736749e-06,The person who put the painting in the hall was,Sarah,1.3285797142786553,2.92297681880882e-05,1.163812521554064e-05,The person who moved the painting to the bedroom was,James,1.645316593698503,0.00012384614092297852,3.9590668166056275e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
cupboard,drawer,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.","At the start of the story, Lisa put the grater in the",cupboard,-0.43454930478566806,2.011295237025479e-06,2.7182425128557952e-06,"At the end of the story, the grater was in the",drawer,3.035142884301758,1.0586048119876068e-05,1.2914119906781707e-06,The person who put the grater in the cupboard was,Lisa,-0.37419298367538284,1.2115142453694716e-05,1.5702609744039364e-05,The person who moved the grater to the drawer was,Robert,0.5967880621434187,1.6645664800307713e-05,1.1006520253431518e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
toolbox,van,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.","At the start of the story, John put the shovel in the",toolbox,4.636971551216753,3.0301740480354056e-05,1.2178675206087064e-06,"At the end of the story, the shovel was in the",van,-0.7841211486768377,1.4941610970709007e-05,2.5730096240295097e-05,The person who put the shovel in the toolbox was,John,-1.055029651237553,8.678414815221913e-06,1.8031671061180532e-05,The person who moved the shovel to the van was,Karen,0.9393678683604947,1.2994340977456886e-05,6.776046120648971e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,414000,3473B
