item,item_id,condition,question_id,question,correct_answer,distractor_answer,prob_correct,prob_distractor,log_odds,is_correct,model_path,model_shorthand,stage,ingredient,step,tokens_seen
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.9638130068778992,0.010336372070014477,6.542951457993393,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.19547690451145172,0.41651710867881775,-1.0913775923558204,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,3,The person who put the wine in the garage was,David,Marta,0.04849190637469292,0.06610923260450363,-0.4471077961024102,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,4,The person who moved the wine to the fridge was,Marta,David,0.1752920150756836,0.08279456198215485,1.0821523612636932,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.9638130068778992,0.010336372070014477,6.542951457993393,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.19547690451145172,0.41651710867881775,-1.0913775923558204,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,3,The person who put the wine in the garage was,David,Marta,0.04849190637469292,0.06610923260450363,-0.4471077961024102,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,4,The person who moved the wine to the fridge was,Marta,David,0.1752920150756836,0.08279456198215485,1.0821523612636932,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.9013243913650513,0.0470857135951519,4.258685133688593,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.2631915807723999,0.47934991121292114,-0.8649658256158842,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,3,The person who put the wine in the garage was,David,Marta,0.08037712424993515,0.20573312044143677,-1.3559172019138765,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
7,,,4,The person who moved the wine to the fridge was,Marta,David,0.14269977807998657,0.04759439453482628,1.5841195170328737,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,326000,1368B
