item,item_id,condition,question_id,question,correct_answer,distractor_answer,prob_correct,prob_distractor,log_odds,is_correct,model_path,model_shorthand,stage,ingredient,step,tokens_seen
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.3019927442073822,0.5557457804679871,-0.8799112023216442,False,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.48630768060684204,0.020945092663168907,4.537185205319334,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,3,The person who put the wine in the garage was,David,Marta,0.08597597479820251,0.019333748146891594,2.152812214695231,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,4,The person who moved the wine to the fridge was,Marta,David,0.14107398688793182,0.005000023636966944,4.81837326373164,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.3019927442073822,0.5557457804679871,-0.8799112023216442,False,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.48630768060684204,0.020945092663168907,4.537185205319334,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,3,The person who put the wine in the garage was,David,Marta,0.08597597479820251,0.019333748146891594,2.152812214695231,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,4,The person who moved the wine to the fridge was,Marta,David,0.14107398688793182,0.005000023636966944,4.81837326373164,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.0911061018705368,0.797341525554657,-3.1295782191328745,False,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.42270633578300476,0.11374317854642868,1.8938757105388346,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,3,The person who put the wine in the garage was,David,Marta,0.16769416630268097,0.062440335750579834,1.4252823016813183,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,4,The person who moved the wine to the fridge was,Marta,David,0.16402621567249298,0.17352651059627533,-0.0812296744593941,False,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.0911061018705368,0.797341525554657,-3.1295782191328745,False,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.42270633578300476,0.11374317854642868,1.8938757105388346,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,3,The person who put the wine in the garage was,David,Marta,0.16769416630268097,0.062440335750579834,1.4252823016813183,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,4,The person who moved the wine to the fridge was,Marta,David,0.16402621567249298,0.17352651059627533,-0.0812296744593941,False,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.285074383020401,0.5760974884033203,-1.0149745646178046,False,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.4373323619365692,0.09606564044952393,2.1866376862858896,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,3,The person who put the wine in the garage was,David,Marta,0.08622530847787857,0.019250229001045227,2.1632357768173858,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,4,The person who moved the wine to the fridge was,Marta,David,0.15167023241519928,0.007670493796467781,4.305474696550257,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.285074383020401,0.5760974884033203,-1.0149745646178046,False,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.4373323619365692,0.09606564044952393,2.1866376862858896,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,3,The person who put the wine in the garage was,David,Marta,0.08622530847787857,0.019250229001045227,2.1632357768173858,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,4,The person who moved the wine to the fridge was,Marta,David,0.15167023241519928,0.007670493796467781,4.305474696550257,True,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.1429234892129898,0.726509690284729,-2.345739000648146,False,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient2,2000,17B
