start,end,passage,attn_check_1_q,attn_check_1_a,log_odds_1,correct_prob_q1,distractor_q1,attn_check_2_q,attn_check_2_a,log_odds_2,correct_prob_q2,distractor_q2,attn_check_3_q,attn_check_3_a,log_odds_3,correct_prob_q3,distractor_q3,attn_check_4_q,attn_check_4_a,log_odds_4,correct_prob_q4,distractor_q4,model_path,model_shorthand,stage,ingredient,step,tokens_seen
box,basket,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.","At the start of the story, Sean put the book in the",box,3.0222414669665456,4.193796485196799e-05,5.162047727935715e-06,"At the end of the story, the book was in the",basket,-0.9412528316548701,1.7337895769742317e-05,3.329214086988941e-05,The person who put the book in the box was,Sean,-1.7826387266537793,2.5548228222760372e-05,8.789992716629058e-05,The person who moved the book to the basket was,Anna,1.16412589763641,4.399758472573012e-05,1.9633242118288763e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
cupboard,fridge,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.","At the start of the story, Mary put the jam in the",cupboard,0.13389061202830896,7.468365765816998e-06,6.806447345297784e-06,"At the end of the story, the jam was in the",fridge,1.8647941078562293,2.3158556359703653e-05,6.358468453981914e-06,The person who put the jam in the cupboard was,Mary,0.45783164080205824,0.00018719946092460304,0.00013629613386001438,The person who moved the jam to the fridge was,James,0.2068989976679004,0.00015837776300031692,0.00013721809955313802,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
sink,basket,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.","At the start of the story, Cameron put the shirt in the",sink,-0.20165590354147395,4.327344868215732e-06,4.97652263220516e-06,"At the end of the story, the shirt was in the",basket,1.983829433334281,8.761432582105044e-06,2.2150470613269135e-06,The person who put the shirt in the sink was,Cameron,0.32651382240787646,2.957613787657465e-06,2.3585821509186644e-06,The person who moved the shirt to the basket was,Helen,-0.5901110249649101,1.836660658227629e-06,2.7648402465274557e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
shed,garage,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.","At the start of the story, Paula put the football in the",shed,5.6023665014483734,8.535948290955275e-05,1.7569985857335269e-06,"At the end of the story, the football was in the",garage,-2.9522802564957873,6.796341949666385e-06,5.260174293653108e-05,The person who put the football in the shed was,Paula,-3.524078532513715,6.1120576901885215e-06,7.031383574940264e-05,The person who moved the football to the garage was,Tim,3.9222693658026366,4.871519195148721e-05,3.2132438718690537e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
hall,study,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.","At the start of the story, Ed put the keys in the",hall,1.3060734851916882,2.887650771299377e-05,1.1678239388857037e-05,"At the end of the story, the keys were in the",study,1.364804760696473,4.666429231292568e-05,1.8119137166650034e-05,The person who put the keys in the hall was,Ed,-1.1603023617828114,3.0857231649861205e-06,6.896722879901063e-06,The person who moved the keys to the study was,Seana,3.3710662843360484,7.921124051790684e-06,7.655873446310579e-07,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
drawer,cabinet,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.","At the start of the story, Laura put the stapler in the",drawer,4.796489026703671,1.598912240297068e-05,5.753572054345568e-07,"At the end of the story, the stapler was in the",cabinet,-3.915065377594281,9.062238177648396e-07,1.3670600310433656e-05,The person who put the stapler in the drawer was,Laura,0.6633919935330527,1.6687212337274104e-05,1.0536173249420244e-05,The person who moved the stapler to the cabinet was,Ross,1.0924599465758547,1.5852034266572446e-05,7.433986866089981e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
garage,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.","At the start of the story, David put the wine in the",garage,0.7825430736907341,4.490891114983242e-06,2.610739784358884e-06,"At the end of the story, the wine was in the",fridge,-1.0697209079739365,3.3950630040635588e-06,7.126329819584498e-06,The person who put the wine in the garage was,David,5.008581885273022,7.082304819050478e-06,2.2000939736699365e-07,The person who moved the wine to the fridge was,Marta,-4.940848252374297,2.1705815811401408e-07,6.666833996860078e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
hall,bedroom,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.","At the start of the story, Sarah put the painting in the",hall,5.914951017817086,1.9410430468269624e-05,3.2170476060855435e-07,"At the end of the story, the painting was in the",bedroom,-1.5171044113620562,3.5154168926965212e-06,1.00616862255265e-05,The person who put the painting in the hall was,Sarah,2.019472581568325,3.4614120522746816e-05,8.53751498652855e-06,The person who moved the painting to the bedroom was,James,1.8655618651585006,0.00016578042414039373,4.549285222310573e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
cupboard,drawer,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.","At the start of the story, Lisa put the grater in the",cupboard,-1.6793320797272506,3.334493385409587e-06,1.0679703336791135e-05,"At the end of the story, the grater was in the",drawer,3.307249753354562,1.0285704775014892e-05,1.0390888292022282e-06,The person who put the grater in the cupboard was,Lisa,-1.7970331082309876,4.199469458399108e-06,1.4593359992431942e-05,The person who moved the grater to the drawer was,Robert,2.081091773205976,1.6823898477014154e-05,3.976084371970501e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
toolbox,van,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.","At the start of the story, John put the shovel in the",toolbox,1.704211991590564,2.336785473744385e-05,7.171333436417626e-06,"At the end of the story, the shovel was in the",van,1.4656128102121206,9.973640771931969e-06,3.6112728594162036e-06,The person who put the shovel in the toolbox was,John,-1.1109832777770365,2.081529783026781e-05,4.4959546357858926e-05,The person who moved the shovel to the van was,Karen,1.0195118257130056,1.7836047845776193e-05,8.798223461781163e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596057,5001B
