item,item_id,condition,question_id,question,correct_answer,distractor_answer,prob_correct,prob_distractor,log_odds,is_correct,model_path,model_shorthand
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.17339026927947998,0.027250073850154877,2.6696908914571766,True,EleutherAI/pythia-14m,Pythia 14m
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.00525822164490819,0.03897234797477722,-2.889803991532032,False,EleutherAI/pythia-14m,Pythia 14m
7,,,3,The person who put the wine in the garage was,David,Marta,3.182304135407321e-05,1.1921360965061467e-06,4.73845087069957,True,EleutherAI/pythia-14m,Pythia 14m
7,,,4,The person who moved the wine to the fridge was,Marta,David,9.363611184198817e-07,1.4843428289168514e-05,-3.9866155009814093,False,EleutherAI/pythia-14m,Pythia 14m
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.17339026927947998,0.027250073850154877,2.6696908914571766,True,EleutherAI/pythia-14m,Pythia 14m
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.00525822164490819,0.03897234797477722,-2.889803991532032,False,EleutherAI/pythia-14m,Pythia 14m
7,,,3,The person who put the wine in the garage was,David,Marta,3.182304135407321e-05,1.1921360965061467e-06,4.73845087069957,True,EleutherAI/pythia-14m,Pythia 14m
7,,,4,The person who moved the wine to the fridge was,Marta,David,9.363611184198817e-07,1.4843428289168514e-05,-3.9866155009814093,False,EleutherAI/pythia-14m,Pythia 14m
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.16236473619937897,0.02193721942603588,2.8877857505740026,True,EleutherAI/pythia-14m,Pythia 14m
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.005080077797174454,0.03814883157610893,-2.9087163748606684,False,EleutherAI/pythia-14m,Pythia 14m
7,,,3,The person who put the wine in the garage was,David,Marta,2.105080238834489e-05,1.1716587096088915e-06,4.167250929215556,True,EleutherAI/pythia-14m,Pythia 14m
7,,,4,The person who moved the wine to the fridge was,Marta,David,8.422842370237049e-07,1.0609890523483045e-05,-3.6549587929212866,False,EleutherAI/pythia-14m,Pythia 14m
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.16236473619937897,0.02193721942603588,2.8877857505740026,True,EleutherAI/pythia-14m,Pythia 14m
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.005080077797174454,0.03814883157610893,-2.9087163748606684,False,EleutherAI/pythia-14m,Pythia 14m
7,,,3,The person who put the wine in the garage was,David,Marta,2.105080238834489e-05,1.1716587096088915e-06,4.167250929215556,True,EleutherAI/pythia-14m,Pythia 14m
7,,,4,The person who moved the wine to the fridge was,Marta,David,8.422842370237049e-07,1.0609890523483045e-05,-3.6549587929212866,False,EleutherAI/pythia-14m,Pythia 14m
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.15165209770202637,0.0403607003390789,1.9097423405097373,True,EleutherAI/pythia-14m,Pythia 14m
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.005893695633858442,0.036096036434173584,-2.614595966176389,False,EleutherAI/pythia-14m,Pythia 14m
7,,,3,The person who put the wine in the garage was,David,Marta,2.8977501642657444e-05,1.139419282480958e-06,4.668562583734365,True,EleutherAI/pythia-14m,Pythia 14m
7,,,4,The person who moved the wine to the fridge was,Marta,David,9.112486054618785e-07,1.4026535609446e-05,-3.944170212297362,False,EleutherAI/pythia-14m,Pythia 14m
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.15165209770202637,0.0403607003390789,1.9097423405097373,True,EleutherAI/pythia-14m,Pythia 14m
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.005893695633858442,0.036096036434173584,-2.614595966176389,False,EleutherAI/pythia-14m,Pythia 14m
7,,,3,The person who put the wine in the garage was,David,Marta,2.8977501642657444e-05,1.139419282480958e-06,4.668562583734365,True,EleutherAI/pythia-14m,Pythia 14m
