item,item_id,condition,knowledge_cue,first_mention,recent_mention,passage_hr,passage,question_id,question,correct_answer,distractor_answer,prob_correct,prob_distractor,log_odds,is_correct,model_path,model_shorthand,stage,ingredient,step,tokens_seen
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.5164923071861267,0.2687234878540039,0.9426244352161073,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.6356958150863647,0.08764636516571045,2.858570424432308,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.12926994264125824,0.2624734044075012,-1.0217843823598403,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,4,The person who moved the wine to the fridge was,Marta,David,0.46009400486946106,0.1236918643116951,1.8951780460670469,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.5164923071861267,0.2687234878540039,0.9426244352161073,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.6356958150863647,0.08764636516571045,2.858570424432308,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.12926994264125824,0.2624734044075012,-1.0217843823598403,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,4,The person who moved the wine to the fridge was,Marta,David,0.46009400486946106,0.1236918643116951,1.8951780460670469,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.3807218670845032,0.3716479539871216,0.0348007690484523,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.60810786485672,0.08691145479679108,2.806709008807354,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,134000,
