start,end,passage,attn_check_1_q,attn_check_1_a,log_odds_1,correct_prob_q1,distractor_q1,attn_check_2_q,attn_check_2_a,log_odds_2,correct_prob_q2,distractor_q2,attn_check_3_q,attn_check_3_a,log_odds_3,correct_prob_q3,distractor_q3,attn_check_4_q,attn_check_4_a,log_odds_4,correct_prob_q4,distractor_q4,model_path,model_shorthand,stage,ingredient,step,tokens_seen
box,basket,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.","At the start of the story, Sean put the book in the",box,1.9523443135682217,0.00015997732407413423,4.1337501897942275e-05,"At the end of the story, the book was in the",basket,0.92132907668553,3.842840305878781e-05,2.0291055989218876e-05,The person who put the book in the box was,Sean,1.6913792658772777,0.00016093984595499933,4.983192775398493e-05,The person who moved the book to the basket was,Anna,-0.49926008803726896,9.601563942851499e-05,0.00013571699673775584,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
cupboard,fridge,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.","At the start of the story, Mary put the jam in the",cupboard,0.019194702558379136,1.5688165149185807e-05,1.5480820366065018e-05,"At the end of the story, the jam was in the",fridge,1.643837653327027,4.8612066166242585e-05,1.555606104375329e-05,The person who put the jam in the cupboard was,Mary,0.03434719525293123,0.0001371065154671669,0.0001338808797299862,The person who moved the jam to the fridge was,James,1.9155606896249184,0.00024441085406579077,6.478571594925597e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
sink,basket,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.","At the start of the story, Cameron put the shirt in the",sink,1.9648865748900188,7.804583219694905e-06,1.999216920012259e-06,"At the end of the story, the shirt was in the",basket,-0.44088080071650126,1.1700803952408023e-05,1.5883055311860517e-05,The person who put the shirt in the sink was,Cameron,1.163444846418455,1.8130708667740691e-06,8.09436869531055e-07,The person who moved the shirt to the basket was,Helen,-1.0020343184373544,8.902702006707841e-07,1.783052880455216e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
shed,garage,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.","At the start of the story, Paula put the football in the",shed,5.515240088191718,0.0013344157487154007,2.9176853786339052e-05,"At the end of the story, the football was in the",garage,-1.0422575677761103,0.00011663819896057248,0.00024021028366405517,The person who put the football in the shed was,Paula,-4.6357455819045565,1.118370801123092e-05,0.00027802528347820044,The person who moved the football to the garage was,Tim,3.856973826203376,8.36538165458478e-05,5.77325772610493e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
hall,study,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.","At the start of the story, Ed put the keys in the",hall,4.332289837800987,9.079973096959293e-05,4.507496214500861e-06,"At the end of the story, the keys were in the",study,1.191828645803977,8.900504326447845e-05,3.896174894180149e-05,The person who put the keys in the hall was,Ed,-0.38009680670559437,2.1363368432503194e-05,2.780291106319055e-05,The person who moved the keys to the study was,Seana,2.56086562651487,5.832630631630309e-05,9.884782230074052e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
drawer,cabinet,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.","At the start of the story, Laura put the stapler in the",drawer,3.2343111757039056,0.00011622780584730208,1.2350523320492357e-05,"At the end of the story, the stapler was in the",cabinet,-1.250053826491509,2.5504434233880602e-05,6.066237256163731e-05,The person who put the stapler in the drawer was,Laura,1.071209122338923,0.0003632389416452497,0.00017287266382481903,The person who moved the stapler to the cabinet was,Ross,-0.05419388057846336,9.610972483642399e-05,9.97886891127564e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
garage,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.","At the start of the story, David put the wine in the",garage,1.576351620986805,9.515697456663474e-06,3.1908875826047733e-06,"At the end of the story, the wine was in the",fridge,-0.41910101904325947,2.8231024771230295e-05,3.774753713514656e-05,The person who put the wine in the garage was,David,4.422711380783842,6.513092557725031e-06,3.0368158832061454e-07,The person who moved the wine to the fridge was,Marta,-4.318224389645111,3.0879971291142283e-07,6.160159500723239e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
hall,bedroom,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.","At the start of the story, Sarah put the painting in the",hall,5.725017503960174,0.00027103396132588387,5.124148628965486e-06,"At the end of the story, the painting was in the",bedroom,-1.1340494923593647,2.0050796592840925e-05,4.400626858114265e-05,The person who put the painting in the hall was,Sarah,-1.3535255496848175,3.424140595598146e-05,8.749905828153715e-05,The person who moved the painting to the bedroom was,James,4.3864201357201855,0.0004942496889270842,2.3632102966075763e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
cupboard,drawer,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.","At the start of the story, Lisa put the grater in the",cupboard,4.8202993334269575,3.515609569149092e-05,1.2443597370292991e-06,"At the end of the story, the grater was in the",drawer,-0.6355034320798748,1.0599575034575537e-05,1.6466225133626722e-05,The person who put the grater in the cupboard was,Lisa,0.4150726724329455,8.744325168663636e-05,6.558083987329155e-05,The person who moved the grater to the drawer was,Robert,0.09333841052952982,5.983750452287495e-05,5.608875653706491e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
toolbox,van,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.","At the start of the story, John put the shovel in the",toolbox,-1.166269295059054,2.806571683322545e-05,6.298805237747729e-05,"At the end of the story, the shovel was in the",van,5.108549242411623,0.00013978629431221634,4.051707037433516e-06,The person who put the shovel in the toolbox was,John,-0.05921302572778476,8.102386345854029e-05,8.441854151897132e-05,The person who moved the shovel to the van was,Karen,-0.18251485820587846,6.791777559556067e-05,7.707719487370923e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,5000,42B
