start,end,passage,attn_check_1_q,attn_check_1_a,log_odds_1,correct_prob_q1,distractor_q1,attn_check_2_q,attn_check_2_a,log_odds_2,correct_prob_q2,distractor_q2,attn_check_3_q,attn_check_3_a,log_odds_3,correct_prob_q3,distractor_q3,attn_check_4_q,attn_check_4_a,log_odds_4,correct_prob_q4,distractor_q4,model_path,model_shorthand,stage,ingredient,step,tokens_seen
box,basket,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.","At the start of the story, Sean put the book in the",box,2.2100114672876856,0.00017986288003157824,3.887423008563928e-05,"At the end of the story, the book was in the",basket,0.5587825384537112,0.0001043868251144886,7.08655861672014e-05,The person who put the book in the box was,Sean,0.629395777235139,9.534323908155784e-05,6.163436046335846e-05,The person who moved the book to the basket was,Anna,-0.5905099525806604,5.8902678574668244e-05,8.869441080605611e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
cupboard,fridge,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.","At the start of the story, Mary put the jam in the",cupboard,-1.2997388942598829,1.2634692211577203e-05,3.1104631489142776e-05,"At the end of the story, the jam was in the",fridge,2.696509173973237,0.00010484177619218826,1.6173507901839912e-05,The person who put the jam in the cupboard was,Mary,0.02136851717509199,6.86670100549236e-05,6.765744183212519e-05,The person who moved the jam to the fridge was,James,2.0832341839699153,0.00016152260650414973,3.811687929555774e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
sink,basket,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.","At the start of the story, Cameron put the shirt in the",sink,0.8288133777315619,1.0254832886857912e-05,5.773390057584038e-06,"At the end of the story, the shirt was in the",basket,1.0265384729213278,2.427509934932459e-05,1.191631963592954e-05,The person who put the shirt in the sink was,Cameron,0.5474359784835064,2.851634690159699e-06,1.9511885511747096e-06,The person who moved the shirt to the basket was,Helen,-0.5716454859487602,1.7166154293590807e-06,2.5512642878311453e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
shed,garage,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.","At the start of the story, Paula put the football in the",shed,4.326363092726605,0.00035344285424798727,1.7617900084587745e-05,"At the end of the story, the football was in the",garage,-1.24098699214353,7.608961459482089e-05,0.00017984554870054126,The person who put the football in the shed was,Paula,-4.954155629606481,6.999246579653118e-06,0.00021697052579838783,The person who moved the football to the garage was,Tim,5.753159399756519,0.000290230120299384,5.381073606258724e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
hall,study,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.","At the start of the story, Ed put the keys in the",hall,2.785550646903227,3.9571641536895186e-05,5.739178959629498e-06,"At the end of the story, the keys were in the",study,0.9395949305257248,0.00010128910798812285,5.2810039051109925e-05,The person who put the keys in the hall was,Ed,-0.5492491815041768,2.2318121409625746e-05,3.265864143031649e-05,The person who moved the keys to the study was,Seana,0.8830427672892165,4.31841763202101e-05,2.3415437681251206e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
drawer,cabinet,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.","At the start of the story, Laura put the stapler in the",drawer,4.776842849592967,6.729649612680078e-05,2.454818968544714e-06,"At the end of the story, the stapler was in the",cabinet,-4.276062418092114,8.766330211074091e-06,0.00016984035028144717,The person who put the stapler in the drawer was,Laura,-0.060195416776139925,0.0002011155302170664,0.00020968445460312068,The person who moved the stapler to the cabinet was,Ross,1.4196920377578157,0.00022656471992377192,8.468810119666159e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
garage,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.","At the start of the story, David put the wine in the",garage,1.4530305551389038,1.3892781680624466e-05,5.074385171610629e-06,"At the end of the story, the wine was in the",fridge,-0.5765629361702445,3.117242886219174e-05,4.6487199142575264e-05,The person who put the wine in the garage was,David,5.398505028348481,8.742118552618194e-06,2.0725487104300555e-07,The person who moved the wine to the fridge was,Marta,-4.951135507988526,2.0218793395088142e-07,6.254542313399725e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
hall,bedroom,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.","At the start of the story, Sarah put the painting in the",hall,4.141770073014409,7.915872265584767e-05,4.484373221202986e-06,"At the end of the story, the painting was in the",bedroom,-0.6228799078088263,1.2921406778332312e-05,1.9898270693374798e-05,The person who put the painting in the hall was,Sarah,-0.5693944674720219,3.895350164384581e-05,5.780312494607642e-05,The person who moved the painting to the bedroom was,James,4.404657191287721,0.0002080036501865834,9.820577361097094e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
cupboard,drawer,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.","At the start of the story, Lisa put the grater in the",cupboard,1.0319742586691019,1.416730538039701e-05,6.9283855737012345e-06,"At the end of the story, the grater was in the",drawer,2.5552192161125453,6.407547334674746e-05,1.0901699170062784e-05,The person who put the grater in the cupboard was,Lisa,-1.1590156597991212,1.8152588381781243e-05,4.053564043715596e-05,The person who moved the grater to the drawer was,Robert,1.6148360294639283,4.474554589251056e-05,1.460951261833543e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
toolbox,van,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.","At the start of the story, John put the shovel in the",toolbox,1.3003677029730147,6.36799304629676e-05,2.585549736977555e-05,"At the end of the story, the shovel was in the",van,3.0837232691848193,0.00013539627252612263,1.597031587152742e-05,The person who put the shovel in the toolbox was,John,-0.49449975346679587,6.666569970548153e-05,9.392078209202737e-05,The person who moved the shovel to the van was,Karen,-0.1880444869254895,6.788856990169734e-05,7.733991515124217e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage2,ingredient1,3000,26B
