layer,start_prob,end_prob,log_odds,passage,start,end,knowledge_cue,first_mention,recent_mention,condition,model_path,model_shorthand,n_layers,revision,stage,ingredient,step,tokens_seen
0,7.610050006895668e-07,5.887215218055316e-06,-2.951607529943729,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
1,1.9326137594048356e-06,1.6697177855581204e-05,-3.1109790369840695,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
2,2.2182136129302218e-06,2.1136942474606827e-05,-3.252296493267436,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
3,2.2730735737701914e-07,3.565017724849684e-05,-7.293121057989987,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
4,4.078536119937914e-07,4.44536781697439e-05,-6.768107555909281,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
5,1.6154646899925572e-06,3.84345235693963e-05,-4.572381662703286,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
6,1.769575264518714e-06,0.00022442714620247886,-6.986700256878325,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
7,9.855018733070874e-06,0.0001487048432525564,-3.915449212243564,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
8,1.6524540380380213e-05,6.038416426040736e-05,-1.8695601079140751,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
9,1.0960928043627452e-06,9.141383914705234e-05,-6.381970732330896,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
