layer,correct_prob,distractor_prob,log_odds,is_correct,item,item_id,condition,knowledge_cue,first_mention,recent_mention,question_id,question,correct_answer,distractor_answer,model_path,model_shorthand,n_layers,revision,stage,ingredient,step,tokens_seen
0,7.610050006895668e-07,5.887215218055316e-06,-2.951607529943729,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
1,1.779244523633202e-06,1.5868067200148876e-05,-3.156789711729094,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
2,1.9455566524032757e-06,1.8716687600350327e-05,-3.266070239809736,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
3,1.5039050550341669e-07,2.8138585919565504e-05,-7.54769252951953,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
4,3.1093864267046115e-07,5.624071493154048e-05,-7.498841201507251,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
5,1.7332976463945347e-06,0.0001892677950026257,-6.770765719761016,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
6,8.245652987185808e-07,0.00018634377678878602,-7.82011717606984,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
7,7.930028143055684e-06,0.00040277499661478907,-5.666504330615319,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
8,2.25787879308465e-05,7.50160508178099e-05,-1.7322312732695186,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
9,3.4919803677996523e-06,5.8512944754271334e-05,-4.0666384726864555,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
