start_prob,end_prob,passage,start,end,knowledge_cue,first_mention,recent_mention,log_odds,condition,verb_type,verb,model_path,model_shorthand,stage,ingredient,step,tokens_seen
0.38608822226524353,0.5394056439399719,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David knows the wine is in the [MASK].",garage,fridge,Explicit,Start,End,-0.48244007182717114,False Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
0.33146339654922485,0.57378751039505,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David knows the wine is in the [MASK].",garage,fridge,Explicit,Start,End,-0.791667002827969,True Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
0.5387609601020813,0.4025231599807739,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David knows the wine is in the [MASK].",garage,fridge,Explicit,Start,Start,0.4205735195003455,False Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
0.44135043025016785,0.48186996579170227,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David knows the wine is in the [MASK].",garage,fridge,Explicit,Start,Start,-0.12671927879899192,True Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
0.3771201968193054,0.5509510040283203,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David knows the wine is in the [MASK].",garage,fridge,Explicit,End,End,-0.5468996092511451,False Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
0.41508162021636963,0.4988667070865631,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David knows the wine is in the [MASK].",garage,fridge,Explicit,End,End,-0.26525934036149446,True Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
0.5213595032691956,0.4175399839878082,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David knows the wine is in the [MASK].",garage,fridge,Explicit,End,Start,0.32036416760526787,False Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
0.5173031687736511,0.4133981764316559,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David knows the wine is in the [MASK].",garage,fridge,Explicit,End,Start,0.3234780040806795,True Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
0.4064064025878906,0.3512740433216095,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting. Sarah knows the painting is in the [MASK].",hall,bedroom,Explicit,Start,End,0.210326155231202,False Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
0.1885482221841812,0.5766599178314209,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting from the hall to the bedroom. Sarah knows the painting is in the [MASK].",hall,bedroom,Explicit,Start,End,-1.6127872003927977,True Belief,factive,knows,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,37000,311B
