item,item_id,condition,knowledge_cue,first_mention,recent_mention,passage_hr,passage,question_id,question,correct_answer,distractor_answer,prob_correct,prob_distractor,log_odds,is_correct,model_path,model_shorthand,stage,ingredient,step,tokens_seen
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,1,"At the start of the story, the wine was in the",garage,fridge,0.06915283203125,0.7548828125,-3.448392458104332,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.7646484375,0.070068359375,3.447961570615353,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.31640625,0.0736083984375,2.10383581098454,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,4,The person who put the wine in the fridge was,Marta,David,0.0853271484375,0.329345703125,-1.948525987572831,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,1,"At the start of the story, the wine was in the",garage,fridge,0.06915283203125,0.7548828125,-3.448392458104332,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.7646484375,0.070068359375,3.447961570615353,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.31640625,0.0736083984375,2.10383581098454,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,4,The person who put the wine in the fridge was,Marta,David,0.0853271484375,0.329345703125,-1.948525987572831,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,1,"At the start of the story, the wine was in the",garage,fridge,0.0556640625,0.74462890625,-3.7417035131728693,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.74609375,0.05706787109375,3.7086062732607497,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.298095703125,0.08978271484375,1.731265953732573,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,4,The person who put the wine in the fridge was,Marta,David,0.102783203125,0.3134765625,-1.608753064055907,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_tb_1_s_e_im,True Belief,Implicit,Start,End,passage_hr,passage,1,"At the start of the story, the wine was in the",garage,fridge,0.0556640625,0.74462890625,-3.7417035131728693,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_tb_1_s_e_im,True Belief,Implicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.74609375,0.05706787109375,3.7086062732607497,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_tb_1_s_e_im,True Belief,Implicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.298095703125,0.08978271484375,1.731265953732573,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_tb_1_s_e_im,True Belief,Implicit,Start,End,passage_hr,passage,4,The person who put the wine in the fridge was,Marta,David,0.102783203125,0.3134765625,-1.608753064055907,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_s_ex,False Belief,Explicit,Start,Start,passage_hr,passage,1,"At the start of the story, the wine was in the",garage,fridge,0.049407958984375,0.77880859375,-3.978453438349666,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_s_ex,False Belief,Explicit,Start,Start,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.7861328125,0.0518798828125,3.921525941976915,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_s_ex,False Belief,Explicit,Start,Start,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.310302734375,0.07244873046875,2.0986440953630523,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_s_ex,False Belief,Explicit,Start,Start,passage_hr,passage,4,The person who put the wine in the fridge was,Marta,David,0.08551025390625,0.3193359375,-1.9009055850672643,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,passage_hr,passage,1,"At the start of the story, the wine was in the",garage,fridge,0.049407958984375,0.77880859375,-3.978453438349666,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.7861328125,0.0518798828125,3.921525941976915,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.310302734375,0.07244873046875,2.0986440953630523,True,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,passage_hr,passage,4,The person who put the wine in the fridge was,Marta,David,0.08551025390625,0.3193359375,-1.9009055850672643,False,allenai/OLMo-2-1124-7B,OLMO 2 7B,stage1,,2000,9B
