item,item_id,condition,knowledge_cue,first_mention,recent_mention,passage_hr,passage,question_id,question,correct_answer,distractor_answer,prob_correct,prob_distractor,log_odds,is_correct,model_path,model_shorthand,stage,ingredient,step,tokens_seen
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,1,"At the start of the story, the wine was in the",garage,fridge,0.60546875,0.259521484375,1.222198523743133,True,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.705078125,0.049102783203125,3.843906416163725,True,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.0248870849609375,0.1317138671875,-2.4039380827761327,False,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,4,The person who put the wine in the fridge was,Marta,David,0.30224609375,0.02972412109375,3.3460176371319226,True,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,1,"At the start of the story, the wine was in the",garage,fridge,0.60546875,0.259521484375,1.222198523743133,True,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.705078125,0.049102783203125,3.843906416163725,True,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.0248870849609375,0.1317138671875,-2.4039380827761327,False,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,4,The person who put the wine in the fridge was,Marta,David,0.30224609375,0.02972412109375,3.3460176371319226,True,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,1,"At the start of the story, the wine was in the",garage,fridge,0.40625,0.407958984375,-0.006056299920095834,False,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.6611328125,0.04193115234375,3.978845734756897,True,allenai/OLMo-2-0425-1B,OLMO 2 1B,stage1,,480000,1007B
