sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,model_path,model_shorthand,stage,ingredient,step,tokens_seen
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0007135868072509766,1,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03116828203201294,2,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.15483933687210083,3,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.17357689142227173,4,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.18215125799179077,5,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1764916181564331,6,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.17154496908187866,7,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.16654103994369507,8,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1562846302986145,9,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.14800989627838135,10,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.14327865839004517,11,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.14216065406799316,12,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,1000,9B
