sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,model_path,model_shorthand,stage,ingredient,step,tokens_seen
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.2024233341217041,1,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.20498603582382202,2,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.19556957483291626,3,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.19475394487380981,4,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.18704456090927124,5,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1867210865020752,6,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.18428939580917358,7,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.18321102857589722,8,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1853829026222229,9,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.18442076444625854,10,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,0,0B
