sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,model_path,model_shorthand,stage,ingredient,step,tokens_seen
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.005309164524078369,1,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1165282130241394,2,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.3206091523170471,3,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.32115650177001953,4,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.366269052028656,5,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4334167242050171,6,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.47574669122695923,7,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5069376230239868,8,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5406675934791565,9,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5513935089111328,10,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5522143244743347,11,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.561176210641861,12,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5607486367225647,13,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5554116666316986,14,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5395488739013672,15,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5480445027351379,16,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5569784045219421,17,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5822721123695374,18,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5437891185283661,19,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5209746062755585,20,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.49807417392730713,21,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5022667348384857,22,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5130163729190826,23,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5133630335330963,24,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5194574594497681,25,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5195058286190033,26,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5049744546413422,27,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.507257342338562,28,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5085956156253815,29,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5135346949100494,30,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.517308920621872,31,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5141451358795166,32,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5092626214027405,33,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.49711722135543823,34,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4729161858558655,35,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4382514953613281,36,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.38832515478134155,37,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.34664595127105713,38,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.2956418991088867,39,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,35000,294B
